Date,DJIA
1/24/2002,9796.07
1/25/2002,9840.08
1/28/2002,9865.75
1/29/2002,9618.24
1/30/2002,9762.86
1/31/2002,9920
2/1/2002,9907.26
2/4/2002,9687.09
2/5/2002,9685.43
2/6/2002,9653.39
2/7/2002,9625.44
2/8/2002,9744.24
2/11/2002,9884.78
2/12/2002,9863.74
2/13/2002,9989.67
2/14/2002,10001.99
2/15/2002,9903.04
2/19/2002,9745.14
2/20/2002,9941.17
2/21/2002,9834.68
2/22/2002,9968.15
2/25/2002,10145.71
2/26/2002,10115.26
2/27/2002,10127.5
2/28/2002,10106.13
3/1/2002,10368.86
3/4/2002,10586.82
3/5/2002,10433.41
3/6/2002,10574.29
3/7/2002,10525.37
3/8/2002,10572.49
3/11/2002,10611.24
3/12/2002,10632.35
3/13/2002,10501.85
3/14/2002,10517.14
3/15/2002,10607.23
3/18/2002,10577.75
3/19/2002,10635.25
3/20/2002,10501.57
3/21/2002,10479.84
3/22/2002,10427.67
3/25/2002,10281.67
3/26/2002,10353.36
3/27/2002,10426.91
3/28/2002,10403.94
4/1/2002,10362.7
4/2/2002,10313.71
4/3/2002,10198.29
4/4/2002,10235.17
4/5/2002,10271.64
4/8/2002,10249.08
4/9/2002,10208.67
4/10/2002,10381.73
4/11/2002,10176.08
4/12/2002,10190.82
4/15/2002,10093.67
4/16/2002,10301.32
4/17/2002,10220.78
4/18/2002,10205.28
4/19/2002,10257.11
4/22/2002,10136.43
4/23/2002,10089.24
4/24/2002,10030.43
4/25/2002,10035.06
4/26/2002,9910.72
4/29/2002,9819.87
4/30/2002,9946.22
5/1/2002,10059.63
5/2/2002,10091.87
5/3/2002,10006.63
5/6/2002,9804.04
5/7/2002,9836.55
5/8/2002,10141.83
5/9/2002,10037.42
5/10/2002,9939.92
5/13/2002,10109.66
5/14/2002,10298.14
5/15/2002,10243.68
5/16/2002,10289.21
5/17/2002,10353.48
5/20/2002,10229.5
5/21/2002,10105.71
5/22/2002,10157.88
5/23/2002,10216.08
5/24/2002,10104.26
5/28/2002,9981.58
5/29/2002,9923.04
5/30/2002,9911.69
5/31/2002,9925.25
6/3/2002,9709.79
6/4/2002,9687.84
6/5/2002,9796.8
6/6/2002,9624.64
6/7/2002,9589.67
6/10/2002,9645.4
6/11/2002,9517.26
6/12/2002,9617.71
6/13/2002,9502.8
6/14/2002,9474.21
6/17/2002,9687.42
6/18/2002,9706.12
6/19/2002,9561.57
6/20/2002,9431.77
6/21/2002,9253.79
6/24/2002,9281.82
6/25/2002,9126.82
